neighbourhood,listing_count,low_confidence,neighbourhood_group,centroid_lat,centroid_lon,tour_reviews_per_month_mean,tour_reviews_per_month_median,tour_reviews_total_mean,tour_entire_home_share,tour_dist_dam_square_km_median,tour_dist_rijksmuseum_km_median,tour_dist_anne_frank_km_median,tour_dist_vondelpark_km_median,tour_dist_coast_km_median,host_hhi,host_share_10plus,host_top5_share,host_multilisting_share,reg_min30_share,reg_min_nights_median,tenure_months_median,tenure_supporting_listings,rev_uncapped_median,rev_capped_median,rev_supporting_listings,occ_booked_days_median,occ_zero_availability_share,rev_divergence_ratio,occ_proxy_unreliable,price_median,price_iqr,price_cv,price_gini,price_median_entire_home_apt,price_median_hotel_room,price_median_private_room,price_median_shared_room,inactivity_never_reviewed_share,inactivity_stale_since_covid_share,topic_0_loading,topic_1_loading,topic_2_loading,topic_3_loading,topic_4_loading
Geuzenveld - Slotermeer,221,False,,52.37870601809955,4.818831493212669,0.8133701657458563,0.42,20.963800904977376,0.6018099547511312,4.806621634133861,4.658093448592339,4.210221254627136,3.8161981217386103,1.9589433370501048,0.006818042218627794,0.013574660633484163,0.09954751131221719,0.2398190045248869,0.00904977375565611,2.0,27.77777777777778,181,1200.0,1200.0,181,365.0,0.5294117647058824,1.0,True,100.0,80.0,0.9877438368130526,0.3362856205623102,130.0,60.0,65.0,60.0,0.18099547511312217,0.5520361990950227,0.18812265224090138,0.3795278357387893,0.11957621344357718,0.11160108079608905,0.09257493271276979
IJburg - Zeeburgereiland,453,False,,52.357919161147905,4.991338631346578,0.649375,0.29,17.346578366445915,0.7262693156732892,7.14953721267661,7.420292635258374,7.772693662097096,8.542518148548503,4.097628122592319,0.0031821216418383216,0.02869757174392936,0.05077262693156733,0.20088300220750552,0.002207505518763797,3.0,31.009615384615383,384,1595.5,1569.75,384,365.0,0.5761589403973509,1.0164038859691034,True,149.0,115.0,1.4369887953639018,0.3430824251273227,175.0,141.0,79.5,509.0,0.152317880794702,0.6401766004415012,0.17335673010398037,0.45660519827143903,0.05283275544333447,0.06585351665212044,0.15863656774104626
Noord-Oost,264,False,,52.39610856060606,4.952171136363637,0.7186842105263158,0.32,23.681818181818183,0.6553030303030303,4.7150614376818965,6.0116374218306,5.0595009529788095,6.9653789134483794,1.37800042596544,0.006829660238751147,0.04924242424242424,0.10984848484848485,0.25757575757575757,0.011363636363636364,2.0,33.333333333333336,228,1500.0,1487.5,228,365.0,0.5795454545454546,1.0084033613445378,True,120.0,79.0,0.48462095094891455,0.26313154725168364,140.0,,74.0,55.0,0.13636363636363635,0.5833333333333334,0.19380873352364505,0.42684266125308457,0.07794335295701893,0.09574034564730904,0.09581642177045756
Noord-West,388,False,,52.41164600515464,4.901238144329897,0.7857798165137614,0.41,23.435567010309278,0.7139175257731959,4.442692999821546,5.90665634239946,4.276302591126507,6.366403728178137,3.193546706057674,0.0035604208736316296,0.01804123711340206,0.05154639175257732,0.22164948453608246,0.007731958762886598,3.0,28.57142857142857,327,1264.5,1260.0,327,365.0,0.5824742268041238,1.0035714285714286,True,120.0,79.5,0.7132585698471354,0.2916649490658224,140.0,98.0,70.0,53.0,0.15721649484536082,0.5618556701030928,0.12374110154090191,0.5178897471329053,0.07194037333170988,0.08925646926122154,0.10438880357862221
Oostelijk Havengebied - Indische Buurt,911,False,,52.36582317233809,4.938618627881449,0.6139779681762546,0.31,20.768386388583973,0.8035126234906695,3.2622518845275597,3.662714417091402,3.8892701027270977,4.807439153306628,2.27265612111611,0.0014013381996599676,0.027442371020856202,0.030735455543358946,0.16245883644346873,0.009879253567508232,2.0,40.0,817,1650.0,1575.0,817,365.0,0.6652030735455543,1.0476190476190477,True,114.0,62.0,0.6591352772414738,0.2855061168159509,122.5,255.0,75.0,250.0,0.10318331503841932,0.7288693743139407,0.1283395117045584,0.4327202856491285,0.14154686789410895,0.13402368064582143,0.10848491206467029
Osdorp,127,False,,52.357877322834646,4.796642755905512,0.8046153846153847,0.365,24.496062992125985,0.6220472440944882,6.803748651828897,6.057936625671193,6.309565840384572,4.908580902283415,4.083019461552757,0.008742017484034966,0.007874015748031496,0.07874015748031496,0.18110236220472442,0.007874015748031496,2.0,36.76588897827836,104,892.0,892.0,104,365.0,0.5669291338582677,1.0,True,94.0,73.0,0.5731356573917503,0.302768201545657,124.0,,61.0,,0.18110236220472442,0.6141732283464567,0.11839959533924198,0.4284957981377577,0.14317169710943964,0.07994701460529961,0.10400164283975717
Oud-Noord,578,False,,52.39131735294118,4.917951574394464,0.8136046511627907,0.355,27.46020761245675,0.7335640138408305,2.8690285347393685,4.3408315649558045,2.939695026012603,5.088024883394802,0.7808813737546312,0.0027717580009817885,0.0328719723183391,0.05709342560553633,0.26124567474048443,0.00865051903114187,2.0,35.98995045013609,516,1571.25,1566.0,516,365.0,0.5605536332179931,1.003352490421456,True,125.0,89.75,1.3183372929982446,0.38128628594225994,145.0,137.0,83.5,47.5,0.10726643598615918,0.6678200692041523,0.1794944966482977,0.4177029100236495,0.09405110713341892,0.12842429436640798,0.11285314338531935
Oud-Oost,1240,False,,52.35732916129032,4.919048532258064,0.5802055406613047,0.3,19.23548387096774,0.8483870967741935,2.5988397323376273,2.3535130380997,3.1995296713054837,3.4227394453529896,2.8551900587755363,0.0010080645161290324,0.01935483870967742,0.021774193548387097,0.14758064516129032,0.007258064516129033,2.0,39.39393939393939,1119,1620.0,1587.5,1119,365.0,0.7016129032258065,1.020472440944882,True,129.0,75.0,0.5170033662989078,0.24676928375341728,138.0,136.5,80.0,103.5,0.09758064516129032,0.7508064516129033,0.14806578060609596,0.4402228734571158,0.11712126833691398,0.13090579897774204,0.12174879475116443
Slotervaart,400,False,,52.359100475,4.8362775749999996,0.7965294117647058,0.31,22.445,0.645,4.135583910889997,3.3359957805512064,3.697340723992977,2.26907765632658,1.8681917471987723,0.0036,0.02,0.0575,0.2475,0.0075,2.0,34.38423645320197,340,995.0,960.0,340,365.0,0.6725,1.0364583333333333,True,100.0,76.5,0.7048846923683819,0.3177659222580839,125.0,117.0,69.0,57.0,0.15,0.6675,0.16869847871616225,0.45415046462159664,0.10844956003869002,0.08988855620889426,0.10881294041465678
Watergraafsmeer,537,False,,52.34793225325884,4.93106981378026,0.5558035714285714,0.31,16.89199255121043,0.7821229050279329,3.9313732719985865,3.364509233709139,4.4857421777527575,4.341584712618773,3.777811804442783,0.0024725265198408987,0.04283054003724395,0.04655493482309125,0.14711359404096835,0.0037243947858473,2.0,37.5,448,1394.0,1332.5,448,365.0,0.659217877094972,1.0461538461538462,True,120.0,91.0,0.7846887220103255,0.32313260267145455,140.0,110.5,70.0,20.0,0.16573556797020483,0.6871508379888268,0.1397280895551299,0.4457888868891765,0.10637932930426534,0.12472247902771355,0.11075551689969236
Westerpark,1422,False,,52.38256601265823,4.875142524613221,0.5830124223602484,0.34,20.803797468354432,0.8628691983122363,1.7281221860527103,2.66187423475664,1.1470040971176843,2.777728054093493,0.6821745642635464,0.0008941270491235774,0.01969057665260197,0.02250351617440225,0.14838255977496484,0.006329113924050633,2.0,40.0,1288,1755.0,1683.75,1288,365.0,0.6736990154711674,1.042316258351893,True,129.5,78.0,0.5792509432502629,0.26131661623721947,137.0,152.0,85.0,120.0,0.09423347398030943,0.7341772151898734,0.2105392738485297,0.33384387123516734,0.13049189369572758,0.1299179609763338,0.1501999678954371
Zuid,1341,False,,52.35109680089486,4.8610244519015655,0.6131972198088619,0.28,21.3944817300522,0.8202833706189411,3.455994447197381,2.220427063019072,3.2994855117195856,1.248263424422665,2.509711730494936,0.001044886755740621,0.036539895600298286,0.027591349739000747,0.1931394481730052,0.010439970171513796,2.0,40.0,1151,1760.0,1720.0,1151,365.0,0.6226696495152871,1.0232558139534884,True,141.0,105.0,0.742447954873902,0.3251689625040343,150.0,137.0,85.0,70.0,0.14168530947054436,0.7293064876957495,0.140513384763251,0.42733413731973485,0.11380705048121038,0.12875975458348454,0.1373858219947502
