neighbourhood,listing_count,low_confidence,neighbourhood_group,centroid_lat,centroid_lon,tour_reviews_per_month_mean,tour_reviews_per_month_median,tour_reviews_total_mean,tour_entire_home_share,tour_dist_grote_markt_km_median,tour_dist_centraal_station_km_median,tour_dist_mas_km_median,tour_dist_zoo_km_median,tour_dist_coast_km_median,host_hhi,host_share_10plus,host_top5_share,host_multilisting_share,reg_min30_share,reg_min_nights_median,tenure_months_median,tenure_supporting_listings,rev_uncapped_median,rev_capped_median,rev_supporting_listings,occ_booked_days_median,occ_zero_availability_share,rev_divergence_ratio,occ_proxy_unreliable,price_median,price_iqr,price_cv,price_gini,price_median_entire_home_apt,price_median_hotel_room,price_median_private_room,price_median_shared_room,inactivity_never_reviewed_share,inactivity_stale_since_covid_share,topic_0_loading,topic_1_loading,topic_2_loading,topic_3_loading,topic_4_loading
Deurne Vlieghaven,1,True,,51.19015,4.44958,0.57,0.57,4.0,1.0,4.890736684265404,3.591871193099469,5.241335329613343,3.5595760010647735,4.058357638998556,1.0,0.0,1.0,0.0,0.0,1.0,7.017543859649123,1,240.0,240.0,1,0.0,0.0,1.0,False,120.0,0.0,,,120.0,,,,0.0,0.0,0.0,0.07171895482342454,0.0,0.6693259143969363,0.2589551307796392
Deurne Zuid Oost,15,True,,51.201519999999995,4.467991333333333,0.764,0.33,14.266666666666667,0.6666666666666666,5.233568637726328,3.742237989752371,5.316431426234425,3.73493722680654,4.879429084016226,0.09333333333333335,0.0,0.4666666666666667,0.2,0.0,2.0,25.429292929292927,10,969.0,969.0,10,338.0,0.4666666666666667,1.0,True,81.0,47.0,1.5663634613445598,0.5758730158730159,94.5,,70.0,27.0,0.3333333333333333,0.6,0.043026945240551846,0.1532824594524396,0.01434364788044446,0.23179627123220087,0.024217342861029893
Deurne Zuid West,29,True,,51.20614931034483,4.460118620689655,1.1925000000000001,0.585,34.96551724137931,0.6896551724137931,4.485125043661673,2.946041076660743,4.486406554121732,2.9490738386413122,4.509172076662444,0.0535077288941736,0.1724137931034483,0.3448275862068966,0.41379310344827586,0.034482758620689655,2.0,26.299292214357937,24,515.0,479.0,24,288.0,0.3793103448275862,1.0751565762004176,True,58.0,30.0,0.40233999270689313,0.22502875442592635,60.0,,25.0,,0.1724137931034483,0.41379310344827586,0.09443647190216738,0.15271951494009037,0.032176635934093055,0.4076959660907603,0.07159210078806132
Donk,3,True,,51.27409333333333,4.4480233333333326,0.12,0.12,4.0,0.6666666666666666,6.674557671278331,6.410650339786741,5.551910263416268,6.48730309896918,3.713403137922713,0.3333333333333333,0.0,1.0,0.3333333333333333,0.3333333333333333,2.0,36.36363636363637,3,560.0,312.5,3,365.0,0.6666666666666666,1.792,True,70.0,48.0,0.6451317645430652,0.2857142857142857,97.5,,29.0,,0.0,1.0,0.039902602894054694,0.09790538092703599,0.2379400358024876,0.40048045157510653,0.22377152880131523
Eilandje,87,True,,51.23113643678161,4.409883333333333,1.0019178082191782,0.45,24.816091954022987,0.9080459770114943,1.3527941558231176,1.7572836003947072,0.3484680859221292,1.7979935354721794,0.8771259423373284,0.02972651605231867,0.11494252873563218,0.28735632183908044,0.3793103448275862,0.022988505747126436,2.0,16.666666666666668,73,1560.0,1340.0,73,275.0,0.3218390804597701,1.164179104477612,True,120.0,110.0,1.341441987033168,0.5540161989480868,120.0,,50.0,,0.16091954022988506,0.45977011494252873,0.07697712991371004,0.11690047385203454,0.13057352953991427,0.36807624188362664,0.12356457883370305
Ekeren Centrum,7,True,,51.28380571428572,4.421745714285715,1.4919999999999998,1.01,26.428571428571427,0.42857142857142855,7.3585757710064845,7.4556977540352305,6.27567182541969,7.526743976946479,3.6142634476101607,0.22448979591836732,0.0,1.0,0.5714285714285714,0.0,1.0,25.233644859813083,5,412.5,412.5,5,246.0,0.42857142857142855,1.0,True,49.0,58.0,0.6769240412650586,0.3359724612736661,49.0,,44.0,,0.2857142857142857,0.42857142857142855,0.04568707052085525,0.08667140971907528,0.040082827955510034,0.41150741582257855,0.13033699026769516
Groenenhoek,24,True,,51.19841125,4.441662083333333,0.8282352941176471,0.51,17.166666666666668,0.6666666666666666,3.820158824757728,2.513159718898086,4.159436784884974,2.479137674762371,3.270440521620184,0.04861111111111112,0.0,0.2916666666666667,0.2916666666666667,0.08333333333333333,2.0,30.113636363636363,17,885.0,750.0,17,275.0,0.2916666666666667,1.18,False,50.0,31.25,0.5453704740622509,0.27457567185289955,54.5,,40.0,,0.2916666666666667,0.4583333333333333,0.03901582645549484,0.09874725758053958,0.11260212456954714,0.43611536565418874,0.06351942574022972
Haringrode,49,True,,51.20334714285715,4.4223459183673475,1.0585714285714285,0.7649999999999999,24.408163265306122,0.6938775510204082,2.529056284740278,1.6074256025626048,3.1162427471112704,1.5454369014019658,1.9213513543723046,0.024573094543940018,0.10204081632653061,0.20408163265306123,0.2653061224489796,0.02040816326530612,2.0,19.627329192546583,42,497.5,497.5,42,282.0,0.3673469387755102,1.0,True,66.0,49.0,0.9468385862413949,0.37222524435397547,77.0,,50.0,,0.14285714285714285,0.5306122448979592,0.07322207045280914,0.12961777701211288,0.0784162068655184,0.3268377129600315,0.12660011026054852
Harmonie,68,True,,51.20577823529412,4.4071733823529415,1.2994444444444444,0.635,25.808823529411764,0.7941176470588235,1.644465225551286,1.5580579238456795,2.5392417505877827,1.4818872414489948,0.8137315143675709,0.02032871972318339,0.058823529411764705,0.17647058823529413,0.39705882352941174,0.04411764705882353,2.0,25.472972972972972,54,1340.0,1340.0,54,304.0,0.39705882352941174,1.0,True,71.0,36.25,0.6861875430107856,0.3230433074732397,77.5,,40.0,,0.20588235294117646,0.4264705882352941,0.14473083204002693,0.10542372176285991,0.06524533770952876,0.3283279595125507,0.16509567838679834
Historisch Centrum,290,False,,51.22153003448276,4.401560413793104,1.9279268292682925,1.12,41.779310344827586,0.8310344827586207,0.2955926794114555,1.4998242080366815,1.0520959352630066,1.4876647794917197,0.3860977275049276,0.011486325802615932,0.1724137931034483,0.15862068965517243,0.6241379310344828,0.013793103448275862,1.0,16.666666666666668,246,1260.0,1206.75,246,257.0,0.35172413793103446,1.0441267868241144,True,80.0,50.0,2.0521769476294414,0.5483361681713115,85.0,147.5,60.0,70.0,0.15172413793103448,0.3793103448275862,0.14887461285283518,0.07813934014949701,0.20916159386918282,0.17698229197064344,0.18684216115784155
